,index,GROWTH,CYCLES,SYMMETRY,ACTIVITY,GLUCOSE,OXYGEN,CONTEXT,PRESSURE,RADIUS,WALL,SHEAR,CIRCUM,FLOW,SHORTPATH,GDIAMETER,GRADIUS,ECCENTRICITY,CLOSENESS,BETWEENNESS,EDGES,NODES,CLUSTERING,INDEGREE,OUTDEGREE,DEGREE,COMPONENTS
0,0,1.3982905982905982,1345.59670781893,0.7964912280701755,0.8838709677419354,0.002604,18.23,C,39.74295980290456,7.347073651452273,2.405509336099625,0.0504985534232364,115.61076296680498,51228996.61690872,9.136177044894511,107.0,56.0,81.8891719745223,0.0046704547066299,0.005704418067479,1928.0,1570.0,0.0193205944798301,1.2280254777070063,1.2280254777070063,2.4560509554140126,1.0
1,1,1.392820512820513,1361.7372262773722,0.8518518518518519,1.0,0.003927,29.72,C,38.0980575129534,7.006306735751256,2.326735233160653,0.038819096373057,109.64754404145056,29791995.027409326,8.339064326674707,110.0,57.0,85.60669975186104,0.0043937118213197,0.0050663009776285,1930.0,1612.0,0.0163358147229114,1.19727047146402,1.19727047146402,2.39454094292804,1.0
2,2,1.4776068376068376,1329.3559322033898,0.8754098360655738,1.0,0.004144,31.9,C,37.8149397964952,7.137983041266228,2.364535895986439,0.0417067156585641,109.66007744488412,33282482.12639908,11.230859395962728,114.0,57.0,82.5246913580247,0.0056786830334948,0.0075521267460246,1769.0,1458.0,0.0096021947873799,1.2133058984910836,1.2133058984910836,2.4266117969821672,1.0
3,3,1.4067236467236468,1406.8791946308725,0.8892857142857142,1.0,0.003928,27.01,C,39.8826348235295,6.790871058823482,2.256195764705926,0.0487151054117646,113.82745694117648,37608870.47129408,7.553185919743771,103.0,53.0,76.42397660818713,0.0049764997455147,0.0043160105801246,2125.0,1710.0,0.0167641325536062,1.2426900584795322,1.2426900584795322,2.4853801169590644,1.0
4,4,1.4543589743589742,1319.1762589928055,0.9228070175438596,1.0,0.004103,30.06,C,39.92992774049216,7.5240049217001905,2.450551230425112,0.0539307718120805,116.47914228187922,53877777.76841173,9.852659123920096,108.0,54.0,79.87513751375137,0.0045525376381582,0.0053169087732055,2235.0,1818.0,0.0137513751375137,1.2293729372937294,1.2293729372937294,2.458745874587459,1.0
5,5,1.4479772079772075,1319.3173431734317,0.8857142857142857,1.0,0.003924,28.32,C,37.95734371933268,6.929291462217852,2.286353287536836,0.0444230446516191,109.01506280667314,43345599.68773314,10.172638067184982,105.0,53.0,77.57844311377245,0.0050553893012835,0.0059698522615445,2038.0,1670.0,0.0181636726546906,1.2203592814371258,1.2203592814371258,2.440718562874252,1.0
6,6,1.4559544159544158,1273.8148148148148,0.8631578947368421,1.0,0.004143,32.3,C,39.75807465870313,7.13367320819111,2.358074232081933,0.0435532918088737,115.13962841296916,37534250.38280723,8.936422345498382,105.0,53.0,79.42559833506763,0.0045224930630939,0.0045553099207185,2344.0,1922.0,0.0112729795352063,1.2195629552549427,1.2195629552549427,2.439125910509885,1.0
7,7,1.5074643874643874,1340.780487804878,0.9017543859649124,1.0,0.003964,26.12,C,40.86589234581497,8.03008590308367,2.562667951541887,0.0658989955947138,120.83753359030834,82199774.4919604,9.716633541161842,105.0,53.0,76.16363636363636,0.0051708159754346,0.0064127221692839,1816.0,1485.0,0.0042648709315375,1.222895622895623,1.222895622895623,2.445791245791246,1.0
8,8,1.44022792022792,1338.7153558052437,0.9016949152542372,1.0,0.003789,25.53,C,39.579130732961815,7.223873124732102,2.3634162023146685,0.0529053536219459,114.44358165452216,53375328.65679378,8.201798197496887,105.0,53.0,76.91858596679164,0.004588107905616,0.0042990265953987,2333.0,1867.0,0.0074986609534011,1.2495982860203536,1.2495982860203536,2.499196572040707,1.0
9,9,1.4605128205128206,1344.1935483870968,0.9035714285714286,1.0,0.004242,33.88,C,38.74500530612245,6.562096734693857,2.2068318367347146,0.0292059367346938,109.8326465306122,19600499.184040792,12.38826311844078,115.0,58.0,83.46576711644178,0.0052422753552105,0.0060765992691498,2450.0,2001.0,0.0154922538730634,1.2243878060969515,1.2243878060969515,2.448775612193903,1.0
